date,potential_water_deficit
2010-08-30,5.8431
2010-08-31,4.1756
2010-09-01,-3.7581
2010-09-02,-1.4463
2010-09-03,-2.6753
2010-09-04,-0.5679
2010-09-05,4.6664
2010-09-06,-3.4221
2010-09-07,7.0395
2010-09-08,-1.5478
2010-09-09,-0.844
2010-09-10,-3.8914
2010-09-11,4.9668
2010-09-12,2.8497
2010-09-13,-0.0825
2010-09-14,9.9532
2010-09-15,-2.8357
2010-09-16,-3.6762
2010-09-17,3.6142
2010-09-18,-2.0093
2010-09-19,-4.2595
2010-09-20,6.1203
2010-09-21,7.8323
2010-09-22,-3.6958
2010-09-23,0.2291
2010-09-24,0.1085
2010-09-25,4.5406
2010-09-26,-1.7251
2010-09-27,-4.3494
2010-09-28,-4.1436
2010-09-29,-4.011
2010-09-30,-4.5898
2010-10-01,2.3895
2010-10-02,-2.0456
2010-10-03,-4.7598
2010-10-04,-3.622
2010-10-05,3.1733
2010-10-06,-0.7195
2010-10-07,-2.9732
2010-10-08,-4.0579
2010-10-09,7.383
2010-10-10,-2.489
2010-10-11,-4.3311
2010-10-12,-4.3981
2010-10-13,-3.3636
2010-10-14,-1.5785
2010-10-15,6.3271
2010-10-16,-1.5929
2010-10-17,-3.8548
2010-10-18,-1.3795
2010-10-19,-1.6982
2010-10-20,-0.3297
2010-10-21,0.8257
2010-10-22,-4.4918
2010-10-23,-3.7625
2010-10-24,0.5354
2010-10-25,-1.0273
2010-10-26,-4.0568
2010-10-27,-3.8001
2010-10-28,3.2819
2010-10-29,0.1368
2010-10-30,-3.7297
2010-10-31,-4.0547
2011-07-01,-4.3882
2011-07-02,-4.708
2011-07-03,-2.3619
2011-07-04,-3.5883
2011-07-05,-0.5282
2011-07-06,-4.677
2011-07-07,-2.6646
2011-07-08,6.3659
